Filled container:
Container contains 10000 elements.
0: It is TRIANGLE. Coordinates of vertices: (-90, -29), (7, -67), (22, 76). Perimeter =  401.484279; Color: GREEN
44: It is CIRCLE. Center coordinates: (43, 91), radius: 92. Perimeter = 578.053048; Color: GREEN
45: It is TRIANGLE. Coordinates of vertices: (-41, -96), (90, 52), (30, -75). Perimeter =  412.149166; Color: PURPLE
46: It is RECTANGLE. Coordinates of angles: (-95, -44), (-16, -24). Perimeter = 198.000000; Color: YELLOW
47: It is CIRCLE. Center coordinates: (-75, 90), radius: 2. Perimeter = 12.566371; Color: RED
48: It is RECTANGLE. Coordinates of angles: (95, 96), (172, 191). Perimeter = 344.000000; Color: GREEN
49: It is RECTANGLE. Coordinates of angles: (86, -35), (142, -28). Perimeter = 126.000000; Color: GREEN
50: It is RECTANGLE. Coordinates of angles: (-16, -85), (79, -49). Perimeter = 262.000000; Color: GREEN
51: It is CIRCLE. Center coordinates: (-72, -83), radius: 24. Perimeter = 150.796447; Color: PURPLE
52: It is CIRCLE. Center coordinates: (8, -84), radius: 22. Perimeter = 138.230077; Color: CYAN
53: It is TRIANGLE. Coordinates of vertices: (8, -26), (62, -93), (39, 75). Perimeter =  361.269772; Color: GREEN
54: It is CIRCLE. Center coordinates: (1, 33), radius: 63. Perimeter = 395.840674; Color: GREEN
55: It is CIRCLE. Center coordinates: (-32, -27), radius: 38. Perimeter = 238.761042; Color: YELLOW
56: It is RECTANGLE. Coordinates of angles: (22, -39), (89, 11). Perimeter = 234.000000; Color: GREEN
57: It is TRIANGLE. Coordinates of vertices: (61, -41), (0, 25), (-99, -59). Perimeter =  380.715958; Color: YELLOW
58: It is CIRCLE. Center coordinates: (0, 48), radius: 38. Perimeter = 238.761042; Color: PURPLE
59: It is TRIANGLE. Coordinates of vertices: (16, 51), (61, -49), (-58, 15). Perimeter =  327.069190; Color: GREEN
60: It is CIRCLE. Center coordinates: (54, -76), radius: 20. Perimeter = 125.663706; Color: PURPLE
61: It is CIRCLE. Center coordinates: (-72, -4), radius: 84. Perimeter = 527.787566; Color: BLUE
62: It is RECTANGLE. Coordinates of angles: (-96, -76), (-76, -9). Perimeter = 174.000000; Color: RED
63: It is TRIANGLE. Coordinates of vertices: (57, 10), (67, -88), (13, 59). Perimeter =  320.969384; Color: PURPLE
64: It is RECTANGLE. Coordinates of angles: (80, 13), (137, 61). Perimeter = 210.000000; Color: BLUE
65: It is CIRCLE. Center coordinates: (90, 46), radius: 10. Perimeter = 62.831853; Color: GREEN
66: It is CIRCLE. Center coordinates: (92, 51), radius: 76. Perimeter = 477.522083; Color: YELLOW
67: It is TRIANGLE. Coordinates of vertices: (37, -5), (-51, -3), (-76, 42). Perimeter =  261.885515; Color: PURPLE
68: It is CIRCLE. Center coordinates: (-34, 62), radius: 76. Perimeter = 477.522083; Color: CYAN
69: It is RECTANGLE. Coordinates of angles: (-69, -23), (26, 69). Perimeter = 374.000000; Color: GREEN
70: It is RECTANGLE. Coordinates of angles: (-88, 43), (-76, 93). Perimeter = 124.000000; Color: BLUE
71: It is CIRCLE. Center coordinates: (22, 16), radius: 84. Perimeter = 527.787566; Color: RED
72: It is TRIANGLE. Coordinates of vertices: (18, 71), (41, -95), (10, -67). Perimeter =  347.590686; Color: YELLOW
73: It is CIRCLE. Center coordinates: (73, 9), radius: 28. Perimeter = 175.929189; Color: CYAN
74: It is TRIANGLE. Coordinates of vertices: (47, 91), (-88, 75), (34, -62). Perimeter =  472.943676; Color: ORANGE
75: It is CIRCLE. Center coordinates: (20, -7), radius: 72. Perimeter = 452.389342; Color: GREEN
76: It is TRIANGLE. Coordinates of vertices: (-24, 88), (90, -90), (-28, -24). Perimeter =  458.651398; Color: ORANGE
77: It is TRIANGLE. Coordinates of vertices: (4, -37), (-11, 3), (87, 68). Perimeter =  294.159979; Color: YELLOW
78: It is CIRCLE. Center coordinates: (3, 44), radius: 35. Perimeter = 219.911486; Color: BLUE
79: It is TRIANGLE. Coordinates of vertices: (-53, 9), (44, -94), (76, 35). Perimeter =  405.988798; Color: BLUE
80: It is RECTANGLE. Coordinates of angles: (-96, -69), (-71, -31). Perimeter = 126.000000; Color: GREEN
81: It is CIRCLE. Center coordinates: (-86, 47), radius: 53. Perimeter = 333.008821; Color: PURPLE
82: It is RECTANGLE. Coordinates of angles: (-18, 16), (27, 31). Perimeter = 120.000000; Color: ORANGE
83: It is RECTANGLE. Coordinates of angles: (62, -78), (145, -8). Perimeter = 306.000000; Color: CYAN
84: It is RECTANGLE. Coordinates of angles: (-18, 4), (49, 74). Perimeter = 274.000000; Color: GREEN
85: It is RECTANGLE. Coordinates of angles: (5, -74), (71, 9). Perimeter = 298.000000; Color: PURPLE
86: It is RECTANGLE. Coordinates of angles: (-22, 38), (66, 38). Perimeter = 176.000000; Color: BLUE
87: It is RECTANGLE. Coordinates of angles: (59, -55), (154, 44). Perimeter = 388.000000; Color: BLUE
88: It is CIRCLE. Center coordinates: (42, 46), radius: 18. Perimeter = 113.097336; Color: GREEN
89: It is CIRCLE. Center coordinates: (-35, -52), radius: 95. Perimeter = 596.902604; Color: PURPLE
90: It is TRIANGLE. Coordinates of vertices: (-53, -69), (-24, -85), (74, -62). Perimeter =  260.976561; Color: CYAN
91: It is CIRCLE. Center coordinates: (47, 47), radius: 67. Perimeter = 420.973416; Color: CYAN
92: It is TRIANGLE. Coordinates of vertices: (14, -26), (-31, -8), (-99, 63). Perimeter =  290.617404; Color: CYAN
93: It is RECTANGLE. Coordinates of angles: (-50, -5), (26, -5). Perimeter = 152.000000; Color: PURPLE
94: It is RECTANGLE. Coordinates of angles: (-15, 25), (56, 66). Perimeter = 224.000000; Color: PURPLE
95: It is RECTANGLE. Coordinates of angles: (-15, 43), (37, 60). Perimeter = 138.000000; Color: RED
96: It is TRIANGLE. Coordinates of vertices: (14, 34), (-67, -88), (-24, -61). Perimeter =  299.533255; Color: RED
97: It is TRIANGLE. Coordinates of vertices: (-17, -30), (-9, -74), (-97, 97). Perimeter =  387.132841; Color: ORANGE
98: It is TRIANGLE. Coordinates of vertices: (-42, -90), (44, -78), (26, 63). Perimeter =  396.408049; Color: YELLOW
99: It is CIRCLE. Center coordinates: (2, -81), radius: 3. Perimeter = 18.849556; Color: GREEN
100: It is TRIANGLE. Coordinates of vertices: (-46, -52), (-7, 5), (45, 90). Perimeter =  337.366010; Color: RED
101: It is RECTANGLE. Coordinates of angles: (-79, 22), (-62, 118). Perimeter = 226.000000; Color: RED
102: It is TRIANGLE. Coordinates of vertices: (-67, 13), (-85, 18), (71, 20). Perimeter =  312.871784; Color: RED
103: It is RECTANGLE. Coordinates of angles: (-42, -97), (-39, -81). Perimeter = 38.000000; Color: YELLOW
104: It is RECTANGLE. Coordinates of angles: (-9, -70), (24, 19). Perimeter = 244.000000; Color: CYAN
105: It is RECTANGLE. Coordinates of angles: (32, 52), (57, 96). Perimeter = 138.000000; Color: ORANGE
106: It is RECTANGLE. Coordinates of angles: (13, 57), (29, 151). Perimeter = 220.000000; Color: CYAN
107: It is CIRCLE. Center coordinates: (2, -17), radius: 44. Perimeter = 276.460153; Color: GREEN
108: It is RECTANGLE. Coordinates of angles: (-26, -96), (42, -21). Perimeter = 286.000000; Color: YELLOW
109: It is RECTANGLE. Coordinates of angles: (54, 28), (58, 102). Perimeter = 156.000000; Color: YELLOW
110: It is RECTANGLE. Coordinates of angles: (68, 62), (154, 160). Perimeter = 368.000000; Color: YELLOW
111: It is CIRCLE. Center coordinates: (-26, 20), radius: 17. Perimeter = 106.814150; Color: RED
112: It is CIRCLE. Center coordinates: (69, 54), radius: 9. Perimeter = 56.548668; Color: PURPLE
113: It is TRIANGLE. Coordinates of vertices: (-83, -27), (-11, 20), (-15, 31). Perimeter =  187.062868; Color: CYAN
114: It is TRIANGLE. Coordinates of vertices: (-39, 4), (-60, 84), (41, -61). Perimeter =  362.496779; Color: ORANGE
115: It is CIRCLE. Center coordinates: (-30, -26), radius: 98. Perimeter = 615.752160; Color: BLUE
116: It is RECTANGLE. Coordinates of angles: (74, 61), (168, 106). Perimeter = 278.000000; Color: CYAN
117: It is CIRCLE. Center coordinates: (-68, 99), radius: 53. Perimeter = 333.008821; Color: RED
118: It is RECTANGLE. Coordinates of angles: (29, 46), (115, 121). Perimeter = 322.000000; Color: YELLOW
119: It is RECTANGLE. Coordinates of angles: (45, 65), (54, 97). Perimeter = 82.000000; Color: CYAN
120: It is TRIANGLE. Coordinates of vertices: (-75, -97), (79, 14), (30, -31). Perimeter =  380.382487; Color: CYAN
121: It is CIRCLE. Center coordinates: (16, 72), radius: 39. Perimeter = 245.044227; Color: BLUE
122: It is TRIANGLE. Coordinates of vertices: (2, -49), (-91, 42), (11, -41). Perimeter =  273.659780; Color: YELLOW
123: It is CIRCLE. Center coordinates: (30, -64), radius: 69. Perimeter = 433.539786; Color: RED
124: It is RECTANGLE. Coordinates of angles: (97, 74), (174, 173). Perimeter = 352.000000; Color: ORANGE
125: It is TRIANGLE. Coordinates of vertices: (53, -47), (47, -79), (75, -24). Perimeter =  126.102399; Color: GREEN
126: It is CIRCLE. Center coordinates: (-50, 86), radius: 47. Perimeter = 295.309709; Color: BLUE
127: It is RECTANGLE. Coordinates of angles: (-60, -73), (24, -49). Perimeter = 216.000000; Color: GREEN
128: It is CIRCLE. Center coordinates: (63, -67), radius: 18. Perimeter = 113.097336; Color: CYAN
129: It is RECTANGLE. Coordinates of angles: (35, 66), (86, 102). Perimeter = 174.000000; Color: GREEN
130: It is CIRCLE. Center coordinates: (23, 36), radius: 42. Perimeter = 263.893783; Color: ORANGE
131: It is TRIANGLE. Coordinates of vertices: (-60, -53), (83, 89), (-33, -44). Perimeter =  406.466633; Color: ORANGE
132: It is RECTANGLE. Coordinates of angles: (66, 92), (109, 163). Perimeter = 228.000000; Color: CYAN
133: It is TRIANGLE. Coordinates of vertices: (-98, 18), (-65, -43), (-26, -39). Perimeter =  200.390122; Color: PURPLE
134: It is RECTANGLE. Coordinates of angles: (76, 0), (174, 25). Perimeter = 246.000000; Color: PURPLE
135: It is TRIANGLE. Coordinates of vertices: (1, 21), (-31, -65), (84, 52). Perimeter =  344.415653; Color: PURPLE
136: It is CIRCLE. Center coordinates: (40, -63), radius: 8. Perimeter = 50.265482; Color: BLUE
137: It is RECTANGLE. Coordinates of angles: (56, -23), (106, 33). Perimeter = 212.000000; Color: ORANGE
138: It is TRIANGLE. Coordinates of vertices: (51, -9), (-79, 83), (-44, 30). Perimeter =  325.468290; Color: YELLOW
139: It is CIRCLE. Center coordinates: (-21, 10), radius: 11. Perimeter = 69.115038; Color: ORANGE
140: It is RECTANGLE. Coordinates of angles: (-58, -17), (-29, 20). Perimeter = 132.000000; Color: BLUE
141: It is CIRCLE. Center coordinates: (-2, -17), radius: 55. Perimeter = 345.575192; Color: GREEN
142: It is CIRCLE. Center coordinates: (28, -84), radius: 59. Perimeter = 370.707933; Color: GREEN
143: It is CIRCLE. Center coordinates: (59, 44), radius: 5. Perimeter = 31.415927; Color: BLUE
144: It is RECTANGLE. Coordinates of angles: (-22, -42), (50, 55). Perimeter = 338.000000; Color: ORANGE
145: It is CIRCLE. Center coordinates: (-17, 24), radius: 3. Perimeter = 18.849556; Color: CYAN
146: It is TRIANGLE. Coordinates of vertices: (-27, 75), (42, 58), (22, -33). Perimeter =  282.831189; Color: GREEN
147: It is CIRCLE. Center coordinates: (52, 76), radius: 23. Perimeter = 144.513262; Color: ORANGE
148: It is TRIANGLE. Coordinates of vertices: (35, -29), (17, -77), (68, 7). Perimeter =  198.370520; Color: BLUE
149: It is CIRCLE. Center coordinates: (-24, -85), radius: 30. Perimeter = 188.495559; Color: CYAN
150: It is CIRCLE. Center coordinates: (-65, 29), radius: 53. Perimeter = 333.008821; Color: RED
151: It is CIRCLE. Center coordinates: (-83, 1), radius: 75. Perimeter = 471.238898; Color: BLUE
152: It is CIRCLE. Center coordinates: (-72, -8), radius: 61. Perimeter = 383.274304; Color: YELLOW
153: It is RECTANGLE. Coordinates of angles: (-91, 10), (-65, 58). Perimeter = 148.000000; Color: YELLOW
154: It is RECTANGLE. Coordinates of angles: (62, 38), (138, 68). Perimeter = 212.000000; Color: BLUE
155: It is CIRCLE. Center coordinates: (-3, -23), radius: 93. Perimeter = 584.336233; Color: ORANGE
156: It is TRIANGLE. Coordinates of vertices: (-55, 60), (79, -4), (5, -62). Perimeter =  378.476308; Color: YELLOW
157: It is TRIANGLE. Coordinates of vertices: (-55, 66), (-84, -13), (12, -19). Perimeter =  288.573171; Color: PURPLE
158: It is RECTANGLE. Coordinates of angles: (-12, 32), (27, 65). Perimeter = 144.000000; Color: BLUE
159: It is RECTANGLE. Coordinates of angles: (90, 72), (115, 97). Perimeter = 100.000000; Color: ORANGE
160: It is CIRCLE. Center coordinates: (-39, 63), radius: 1. Perimeter = 6.283185; Color: ORANGE
161: It is RECTANGLE. Coordinates of angles: (84, 65), (182, 76). Perimeter = 218.000000; Color: CYAN
162: It is CIRCLE. Center coordinates: (-80, -97), radius: 37. Perimeter = 232.477856; Color: GREEN
163: It is RECTANGLE. Coordinates of angles: (42, 12), (113, 105). Perimeter = 328.000000; Color: ORANGE
164: It is CIRCLE. Center coordinates: (31, 62), radius: 56. Perimeter = 351.858377; Color: RED
165: It is RECTANGLE. Coordinates of angles: (54, 88), (122, 187). Perimeter = 334.000000; Color: RED
166: It is TRIANGLE. Coordinates of vertices: (-39, -35), (-16, 77), (-28, -23). Perimeter =  231.333468; Color: YELLOW
167: It is CIRCLE. Center coordinates: (-89, 33), radius: 55. Perimeter = 345.575192; Color: GREEN
168: It is CIRCLE. Center coordinates: (-16, 88), radius: 55. Perimeter = 345.575192; Color: GREEN
169: It is CIRCLE. Center coordinates: (75, -93), radius: 88. Perimeter = 552.920307; Color: GREEN
170: It is TRIANGLE. Coordinates of vertices: (51, -37), (48, 59), (7, -70). Perimeter =  286.405646; Color: RED
171: It is CIRCLE. Center coordinates: (43, -9), radius: 57. Perimeter = 358.141562; Color: YELLOW
172: It is TRIANGLE. Coordinates of vertices: (79, -83), (13, -49), (-33, -59). Perimeter =  235.859822; Color: RED
173: It is CIRCLE. Center coordinates: (99, -39), radius: 10. Perimeter = 62.831853; Color: YELLOW
174: It is RECTANGLE. Coordinates of angles: (-68, -81), (-40, -27). Perimeter = 164.000000; Color: ORANGE
175: It is RECTANGLE. Coordinates of angles: (53, -80), (75, -25). Perimeter = 154.000000; Color: YELLOW
176: It is RECTANGLE. Coordinates of angles: (-26, 47), (57, 85). Perimeter = 242.000000; Color: CYAN
177: It is RECTANGLE. Coordinates of angles: (88, 66), (178, 161). Perimeter = 370.000000; Color: BLUE
178: It is RECTANGLE. Coordinates of angles: (-9, -48), (53, 15). Perimeter = 250.000000; Color: BLUE
179: It is TRIANGLE. Coordinates of vertices: (95, 34), (-71, 60), (90, -35). Perimeter =  424.143223; Color: RED
180: It is RECTANGLE. Coordinates of angles: (-42, 0), (7, 61). Perimeter = 220.000000; Color: ORANGE
181: It is CIRCLE. Center coordinates: (-96, -6), radius: 99. Perimeter = 622.035345; Color: ORANGE
182: It is CIRCLE. Center coordinates: (-45, -43), radius: 74. Perimeter = 464.955713; Color: YELLOW
183: It is TRIANGLE. Coordinates of vertices: (61, 8), (54, 90), (11, 70). Perimeter =  209.371092; Color: GREEN
184: It is RECTANGLE. Coordinates of angles: (52, -63), (93, 36). Perimeter = 280.000000; Color: GREEN
185: It is CIRCLE. Center coordinates: (62, -87), radius: 55. Perimeter = 345.575192; Color: BLUE
186: It is CIRCLE. Center coordinates: (34, 63), radius: 59. Perimeter = 370.707933; Color: YELLOW
187: It is CIRCLE. Center coordinates: (49, -69), radius: 30. Perimeter = 188.495559; Color: PURPLE
188: It is CIRCLE. Center coordinates: (76, -98), radius: 43. Perimeter = 270.176968; Color: RED
189: It is TRIANGLE. Coordinates of vertices: (59, 52), (-27, -85), (23, 89). Perimeter =  394.421059; Color: CYAN
190: It is TRIANGLE. Coordinates of vertices: (-63, 92), (-59, -22), (-63, -58). Perimeter =  300.291694; Color: GREEN
191: It is RECTANGLE. Coordinates of angles: (89, -83), (89, -66). Perimeter = 34.000000; Color: ORANGE
192: It is CIRCLE. Center coordinates: (-47, 57), radius: 65. Perimeter = 408.407045; Color: RED
193: It is TRIANGLE. Coordinates of vertices: (74, 69), (-18, 18), (-97, 86). Perimeter =  381.268566; Color: CYAN
194: It is TRIANGLE. Coordinates of vertices: (-12, -41), (22, 89), (-68, -92). Perimeter =  412.256643; Color: YELLOW
195: It is CIRCLE. Center coordinates: (-93, -89), radius: 8. Perimeter = 50.265482; Color: BLUE
196: It is TRIANGLE. Coordinates of vertices: (-70, 99), (-47, -50), (30, -79). Perimeter =  437.211326; Color: YELLOW
197: It is CIRCLE. Center coordinates: (12, 95), radius: 31. Perimeter = 194.778744; Color: GREEN
198: It is RECTANGLE. Coordinates of angles: (50, 49), (82, 120). Perimeter = 206.000000; Color: YELLOW
199: It is CIRCLE. Center coordinates: (28, 82), radius: 3. Perimeter = 18.849556; Color: YELLOW
200: It is RECTANGLE. Coordinates of angles: (32, -73), (96, -71). Perimeter = 132.000000; Color: ORANGE
201: It is CIRCLE. Center coordinates: (-26, -85), radius: 81. Perimeter = 508.938010; Color: BLUE
202: It is TRIANGLE. Coordinates of vertices: (99, 27), (59, 11), (75, -30). Perimeter =  148.939265; Color: CYAN
203: It is CIRCLE. Center coordinates: (-62, -22), radius: 43. Perimeter = 270.176968; Color: RED
204: It is CIRCLE. Center coordinates: (-2, -90), radius: 42. Perimeter = 263.893783; Color: YELLOW
205: It is RECTANGLE. Coordinates of angles: (-13, 2), (43, 37). Perimeter = 182.000000; Color: PURPLE
206: It is TRIANGLE. Coordinates of vertices: (-26, 75), (45, 45), (-44, -94). Perimeter =  412.085266; Color: YELLOW
207: It is TRIANGLE. Coordinates of vertices: (-18, -69), (-12, 45), (-57, -68). Perimeter =  274.801192; Color: RED
208: It is CIRCLE. Center coordinates: (4, 32), radius: 51. Perimeter = 320.442451; Color: ORANGE
209: It is CIRCLE. Center coordinates: (74, 57), radius: 87. Perimeter = 546.637122; Color: CYAN
210: It is RECTANGLE. Coordinates of angles: (-45, -63), (15, -29). Perimeter = 188.000000; Color: PURPLE
211: It is CIRCLE. Center coordinates: (-97, -78), radius: 88. Perimeter = 552.920307; Color: CYAN
212: It is RECTANGLE. Coordinates of angles: (-48, 12), (2, 25). Perimeter = 126.000000; Color: BLUE
213: It is RECTANGLE. Coordinates of angles: (91, 60), (129, 157). Perimeter = 270.000000; Color: PURPLE
214: It is CIRCLE. Center coordinates: (43, 80), radius: 28. Perimeter = 175.929189; Color: PURPLE
215: It is CIRCLE. Center coordinates: (75, -88), radius: 35. Perimeter = 219.911486; Color: GREEN
216: It is RECTANGLE. Coordinates of angles: (-67, 0), (-2, 0). Perimeter = 130.000000; Color: CYAN
217: It is CIRCLE. Center coordinates: (-86, 49), radius: 54. Perimeter = 339.292007; Color: RED
218: It is CIRCLE. Center coordinates: (36, -96), radius: 83. Perimeter = 521.504380; Color: CYAN
219: It is RECTANGLE. Coordinates of angles: (81, -33), (133, 63). Perimeter = 296.000000; Color: PURPLE
220: It is TRIANGLE. Coordinates of vertices: (74, 34), (-21, 68), (-52, 19). Perimeter =  285.773413; Color: PURPLE
221: It is RECTANGLE. Coordinates of angles: (-16, -51), (51, -12). Perimeter = 212.000000; Color: CYAN
222: It is CIRCLE. Center coordinates: (-63, -31), radius: 3. Perimeter = 18.849556; Color: RED
223: It is TRIANGLE. Coordinates of vertices: (-56, -54), (-34, 52), (-33, -61). Perimeter =  245.305004; Color: CYAN
224: It is CIRCLE. Center coordinates: (-10, -46), radius: 15. Perimeter = 94.247780; Color: BLUE
225: It is TRIANGLE. Coordinates of vertices: (-42, 38), (-82, 66), (-80, 82). Perimeter =  123.088505; Color: PURPLE
226: It is RECTANGLE. Coordinates of angles: (5, 88), (47, 119). Perimeter = 146.000000; Color: BLUE
227: It is RECTANGLE. Coordinates of angles: (-35, 65), (1, 160). Perimeter = 262.000000; Color: ORANGE
228: It is TRIANGLE. Coordinates of vertices: (-74, -28), (38, -66), (-21, -92). Perimeter =  265.842006; Color: PURPLE
229: It is TRIANGLE. Coordinates of vertices: (-21, -92), (54, -1), (-83, -61). Perimeter =  336.804507; Color: YELLOW
230: It is TRIANGLE. Coordinates of vertices: (70, 64), (-75, 56), (84, 38). Perimeter =  334.765792; Color: BLUE
231: It is TRIANGLE. Coordinates of vertices: (1, 47), (63, 39), (-58, 44). Perimeter =  242.693482; Color: CYAN
232: It is RECTANGLE. Coordinates of angles: (91, 19), (188, 109). Perimeter = 374.000000; Color: RED
233: It is CIRCLE. Center coordinates: (34, 64), radius: 84. Perimeter = 527.787566; Color: PURPLE
234: It is TRIANGLE. Coordinates of vertices: (-76, 37), (-22, -53), (5, 87). Perimeter =  342.726221; Color: CYAN
235: It is TRIANGLE. Coordinates of vertices: (-54, 91), (63, 16), (-5, 43). Perimeter =  280.732019; Color: RED
236: It is TRIANGLE. Coordinates of vertices: (-87, 66), (-93, -51), (19, 27). Perimeter =  366.585067; Color: BLUE
237: It is CIRCLE. Center coordinates: (8, 69), radius: 25. Perimeter = 157.079633; Color: PURPLE
238: It is TRIANGLE. Coordinates of vertices: (42, -7), (1, 48), (11, 51). Perimeter =  144.805330; Color: GREEN
239: It is CIRCLE. Center coordinates: (-89, 62), radius: 30. Perimeter = 188.495559; Color: RED
240: It is RECTANGLE. Coordinates of angles: (-11, -46), (41, -21). Perimeter = 154.000000; Color: PURPLE
241: It is CIRCLE. Center coordinates: (-48, 14), radius: 91. Perimeter = 571.769863; Color: ORANGE
242: It is CIRCLE. Center coordinates: (-100, 3), radius: 76. Perimeter = 477.522083; Color: PURPLE
243: It is CIRCLE. Center coordinates: (39, 26), radius: 34. Perimeter = 213.628300; Color: CYAN
244: It is TRIANGLE. Coordinates of vertices: (26, -60), (-25, 50), (-19, -2). Perimeter =  247.002498; Color: BLUE
245: It is RECTANGLE. Coordinates of angles: (-7, 22), (29, 52). Perimeter = 132.000000; Color: CYAN
246: It is TRIANGLE. Coordinates of vertices: (-33, 54), (4, -21), (37, -71). Perimeter =  286.803889; Color: RED
247: It is TRIANGLE. Coordinates of vertices: (-1, 50), (45, 95), (-47, 85). Perimeter =  214.693869; Color: BLUE
248: It is TRIANGLE. Coordinates of vertices: (47, -6), (-26, -29), (-97, -23). Perimeter =  292.790643; Color: YELLOW
249: It is RECTANGLE. Coordinates of angles: (39, -33), (79, 15). Perimeter = 176.000000; Color: RED
250: It is CIRCLE. Center coordinates: (80, -24), radius: 44. Perimeter = 276.460153; Color: PURPLE
251: It is RECTANGLE. Coordinates of angles: (-58, -71), (-13, -6). Perimeter = 220.000000; Color: CYAN
252: It is CIRCLE. Center coordinates: (-68, 93), radius: 56. Perimeter = 351.858377; Color: RED
