Container with deleted elements:
Container contains 4698 elements.
0: It is TRIANGLE. Coordinates of vertices: (-90, -29), (7, -67), (22, 76). Perimeter =  401.484279; Color: GREEN
61: It is CIRCLE. Center coordinates: (-30, -26), radius: 98. Perimeter = 615.752160; Color: BLUE
62: It is RECTANGLE. Coordinates of angles: (74, 61), (168, 106). Perimeter = 278.000000; Color: CYAN
63: It is CIRCLE. Center coordinates: (-68, 99), radius: 53. Perimeter = 333.008821; Color: RED
64: It is RECTANGLE. Coordinates of angles: (29, 46), (115, 121). Perimeter = 322.000000; Color: YELLOW
65: It is TRIANGLE. Coordinates of vertices: (-75, -97), (79, 14), (30, -31). Perimeter =  380.382487; Color: CYAN
66: It is TRIANGLE. Coordinates of vertices: (2, -49), (-91, 42), (11, -41). Perimeter =  273.659780; Color: YELLOW
67: It is CIRCLE. Center coordinates: (30, -64), radius: 69. Perimeter = 433.539786; Color: RED
68: It is RECTANGLE. Coordinates of angles: (97, 74), (174, 173). Perimeter = 352.000000; Color: ORANGE
69: It is CIRCLE. Center coordinates: (-50, 86), radius: 47. Perimeter = 295.309709; Color: BLUE
70: It is TRIANGLE. Coordinates of vertices: (-60, -53), (83, 89), (-33, -44). Perimeter =  406.466633; Color: ORANGE
71: It is TRIANGLE. Coordinates of vertices: (1, 21), (-31, -65), (84, 52). Perimeter =  344.415653; Color: PURPLE
72: It is TRIANGLE. Coordinates of vertices: (51, -9), (-79, 83), (-44, 30). Perimeter =  325.468290; Color: YELLOW
73: It is CIRCLE. Center coordinates: (-2, -17), radius: 55. Perimeter = 345.575192; Color: GREEN
74: It is CIRCLE. Center coordinates: (28, -84), radius: 59. Perimeter = 370.707933; Color: GREEN
75: It is RECTANGLE. Coordinates of angles: (-22, -42), (50, 55). Perimeter = 338.000000; Color: ORANGE
76: It is TRIANGLE. Coordinates of vertices: (-27, 75), (42, 58), (22, -33). Perimeter =  282.831189; Color: GREEN
77: It is CIRCLE. Center coordinates: (-65, 29), radius: 53. Perimeter = 333.008821; Color: RED
78: It is CIRCLE. Center coordinates: (-83, 1), radius: 75. Perimeter = 471.238898; Color: BLUE
79: It is CIRCLE. Center coordinates: (-72, -8), radius: 61. Perimeter = 383.274304; Color: YELLOW
80: It is CIRCLE. Center coordinates: (-3, -23), radius: 93. Perimeter = 584.336233; Color: ORANGE
81: It is TRIANGLE. Coordinates of vertices: (-55, 60), (79, -4), (5, -62). Perimeter =  378.476308; Color: YELLOW
82: It is TRIANGLE. Coordinates of vertices: (-55, 66), (-84, -13), (12, -19). Perimeter =  288.573171; Color: PURPLE
83: It is RECTANGLE. Coordinates of angles: (42, 12), (113, 105). Perimeter = 328.000000; Color: ORANGE
84: It is CIRCLE. Center coordinates: (31, 62), radius: 56. Perimeter = 351.858377; Color: RED
85: It is RECTANGLE. Coordinates of angles: (54, 88), (122, 187). Perimeter = 334.000000; Color: RED
86: It is CIRCLE. Center coordinates: (-89, 33), radius: 55. Perimeter = 345.575192; Color: GREEN
87: It is CIRCLE. Center coordinates: (-16, 88), radius: 55. Perimeter = 345.575192; Color: GREEN
88: It is CIRCLE. Center coordinates: (75, -93), radius: 88. Perimeter = 552.920307; Color: GREEN
89: It is TRIANGLE. Coordinates of vertices: (51, -37), (48, 59), (7, -70). Perimeter =  286.405646; Color: RED
90: It is CIRCLE. Center coordinates: (43, -9), radius: 57. Perimeter = 358.141562; Color: YELLOW
91: It is RECTANGLE. Coordinates of angles: (88, 66), (178, 161). Perimeter = 370.000000; Color: BLUE
92: It is TRIANGLE. Coordinates of vertices: (95, 34), (-71, 60), (90, -35). Perimeter =  424.143223; Color: RED
93: It is CIRCLE. Center coordinates: (-96, -6), radius: 99. Perimeter = 622.035345; Color: ORANGE
94: It is CIRCLE. Center coordinates: (-45, -43), radius: 74. Perimeter = 464.955713; Color: YELLOW
95: It is RECTANGLE. Coordinates of angles: (52, -63), (93, 36). Perimeter = 280.000000; Color: GREEN
96: It is CIRCLE. Center coordinates: (62, -87), radius: 55. Perimeter = 345.575192; Color: BLUE
97: It is CIRCLE. Center coordinates: (34, 63), radius: 59. Perimeter = 370.707933; Color: YELLOW
98: It is TRIANGLE. Coordinates of vertices: (59, 52), (-27, -85), (23, 89). Perimeter =  394.421059; Color: CYAN
99: It is TRIANGLE. Coordinates of vertices: (-63, 92), (-59, -22), (-63, -58). Perimeter =  300.291694; Color: GREEN
100: It is CIRCLE. Center coordinates: (-47, 57), radius: 65. Perimeter = 408.407045; Color: RED
101: It is TRIANGLE. Coordinates of vertices: (74, 69), (-18, 18), (-97, 86). Perimeter =  381.268566; Color: CYAN
102: It is TRIANGLE. Coordinates of vertices: (-12, -41), (22, 89), (-68, -92). Perimeter =  412.256643; Color: YELLOW
103: It is TRIANGLE. Coordinates of vertices: (-70, 99), (-47, -50), (30, -79). Perimeter =  437.211326; Color: YELLOW
104: It is CIRCLE. Center coordinates: (-26, -85), radius: 81. Perimeter = 508.938010; Color: BLUE
105: It is TRIANGLE. Coordinates of vertices: (-26, 75), (45, 45), (-44, -94). Perimeter =  412.085266; Color: YELLOW
106: It is TRIANGLE. Coordinates of vertices: (-18, -69), (-12, 45), (-57, -68). Perimeter =  274.801192; Color: RED
107: It is CIRCLE. Center coordinates: (4, 32), radius: 51. Perimeter = 320.442451; Color: ORANGE
108: It is CIRCLE. Center coordinates: (74, 57), radius: 87. Perimeter = 546.637122; Color: CYAN
109: It is CIRCLE. Center coordinates: (-97, -78), radius: 88. Perimeter = 552.920307; Color: CYAN
110: It is CIRCLE. Center coordinates: (-86, 49), radius: 54. Perimeter = 339.292007; Color: RED
111: It is CIRCLE. Center coordinates: (36, -96), radius: 83. Perimeter = 521.504380; Color: CYAN
112: It is RECTANGLE. Coordinates of angles: (81, -33), (133, 63). Perimeter = 296.000000; Color: PURPLE
113: It is TRIANGLE. Coordinates of vertices: (74, 34), (-21, 68), (-52, 19). Perimeter =  285.773413; Color: PURPLE
114: It is TRIANGLE. Coordinates of vertices: (-21, -92), (54, -1), (-83, -61). Perimeter =  336.804507; Color: YELLOW
115: It is TRIANGLE. Coordinates of vertices: (70, 64), (-75, 56), (84, 38). Perimeter =  334.765792; Color: BLUE
116: It is RECTANGLE. Coordinates of angles: (91, 19), (188, 109). Perimeter = 374.000000; Color: RED
117: It is CIRCLE. Center coordinates: (34, 64), radius: 84. Perimeter = 527.787566; Color: PURPLE
118: It is TRIANGLE. Coordinates of vertices: (-76, 37), (-22, -53), (5, 87). Perimeter =  342.726221; Color: CYAN
119: It is TRIANGLE. Coordinates of vertices: (-54, 91), (63, 16), (-5, 43). Perimeter =  280.732019; Color: RED
120: It is TRIANGLE. Coordinates of vertices: (-87, 66), (-93, -51), (19, 27). Perimeter =  366.585067; Color: BLUE
121: It is CIRCLE. Center coordinates: (-48, 14), radius: 91. Perimeter = 571.769863; Color: ORANGE
122: It is CIRCLE. Center coordinates: (-100, 3), radius: 76. Perimeter = 477.522083; Color: PURPLE
123: It is TRIANGLE. Coordinates of vertices: (-33, 54), (4, -21), (37, -71). Perimeter =  286.803889; Color: RED
124: It is TRIANGLE. Coordinates of vertices: (47, -6), (-26, -29), (-97, -23). Perimeter =  292.790643; Color: YELLOW
125: It is CIRCLE. Center coordinates: (80, -24), radius: 44. Perimeter = 276.460153; Color: PURPLE
126: It is CIRCLE. Center coordinates: (-68, 93), radius: 56. Perimeter = 351.858377; Color: RED
127: It is CIRCLE. Center coordinates: (-36, -31), radius: 59. Perimeter = 370.707933; Color: PURPLE
128: It is TRIANGLE. Coordinates of vertices: (-42, 56), (-70, -63), (94, 50). Perimeter =  457.542772; Color: BLUE
129: It is RECTANGLE. Coordinates of angles: (86, -73), (172, 9). Perimeter = 336.000000; Color: YELLOW
130: It is CIRCLE. Center coordinates: (-28, 5), radius: 90. Perimeter = 565.486678; Color: GREEN
131: It is TRIANGLE. Coordinates of vertices: (35, 74), (9, 88), (-2, -85). Perimeter =  366.127282; Color: ORANGE
132: It is CIRCLE. Center coordinates: (8, 47), radius: 84. Perimeter = 527.787566; Color: ORANGE
133: It is CIRCLE. Center coordinates: (89, -24), radius: 56. Perimeter = 351.858377; Color: YELLOW
134: It is TRIANGLE. Coordinates of vertices: (-86, -65), (17, 86), (97, 85). Perimeter =  499.410224; Color: GREEN
135: It is CIRCLE. Center coordinates: (68, -40), radius: 89. Perimeter = 559.203492; Color: BLUE
136: It is RECTANGLE. Coordinates of angles: (-72, 23), (18, 77). Perimeter = 288.000000; Color: CYAN
137: It is TRIANGLE. Coordinates of vertices: (-37, -44), (94, 89), (98, -79). Perimeter =  494.192416; Color: BLUE
138: It is RECTANGLE. Coordinates of angles: (59, -74), (147, 3). Perimeter = 330.000000; Color: ORANGE
139: It is TRIANGLE. Coordinates of vertices: (-11, 54), (-17, -81), (-100, 19). Perimeter =  360.725675; Color: BLUE
140: It is CIRCLE. Center coordinates: (-27, -90), radius: 59. Perimeter = 370.707933; Color: RED
141: It is TRIANGLE. Coordinates of vertices: (-29, -80), (23, 67), (-7, 30). Perimeter =  315.738715; Color: ORANGE
142: It is TRIANGLE. Coordinates of vertices: (48, 71), (-7, 62), (-71, 8). Perimeter =  274.116873; Color: CYAN
143: It is TRIANGLE. Coordinates of vertices: (-83, -77), (-57, 6), (63, 87). Perimeter =  451.328462; Color: ORANGE
144: It is TRIANGLE. Coordinates of vertices: (80, -52), (-28, 51), (94, -41). Perimeter =  319.846433; Color: BLUE
145: It is TRIANGLE. Coordinates of vertices: (1, -96), (39, 98), (-98, 65). Perimeter =  527.607682; Color: ORANGE
146: It is CIRCLE. Center coordinates: (-16, -100), radius: 88. Perimeter = 552.920307; Color: PURPLE
147: It is TRIANGLE. Coordinates of vertices: (-52, 29), (-17, 22), (4, -90). Perimeter =  281.162940; Color: YELLOW
148: It is CIRCLE. Center coordinates: (29, 14), radius: 58. Perimeter = 364.424748; Color: YELLOW
149: It is TRIANGLE. Coordinates of vertices: (-91, 22), (38, -92), (27, 85). Perimeter =  483.260198; Color: PURPLE
150: It is CIRCLE. Center coordinates: (25, -3), radius: 88. Perimeter = 552.920307; Color: RED
151: It is RECTANGLE. Coordinates of angles: (-27, -25), (71, 40). Perimeter = 326.000000; Color: BLUE
152: It is TRIANGLE. Coordinates of vertices: (62, 99), (-22, 33), (-55, 28). Perimeter =  277.061192; Color: PURPLE
153: It is TRIANGLE. Coordinates of vertices: (-19, 1), (72, 60), (37, -43). Perimeter =  288.454920; Color: CYAN
154: It is TRIANGLE. Coordinates of vertices: (-85, 68), (-85, -16), (1, 86). Perimeter =  305.280171; Color: YELLOW
155: It is CIRCLE. Center coordinates: (13, -38), radius: 89. Perimeter = 559.203492; Color: GREEN
156: It is TRIANGLE. Coordinates of vertices: (83, 72), (-55, -96), (-32, -38). Perimeter =  438.944266; Color: YELLOW
157: It is TRIANGLE. Coordinates of vertices: (12, 32), (42, 77), (-95, 66). Perimeter =  303.796157; Color: YELLOW
158: It is CIRCLE. Center coordinates: (38, -35), radius: 52. Perimeter = 326.725636; Color: PURPLE
159: It is CIRCLE. Center coordinates: (44, -52), radius: 86. Perimeter = 540.353936; Color: BLUE
160: It is TRIANGLE. Coordinates of vertices: (2, 43), (-74, -63), (10, 59). Perimeter =  296.440173; Color: RED
161: It is TRIANGLE. Coordinates of vertices: (-82, -71), (-3, 52), (-23, -97). Perimeter =  360.995906; Color: YELLOW
162: It is RECTANGLE. Coordinates of angles: (55, -26), (130, 38). Perimeter = 278.000000; Color: RED
163: It is CIRCLE. Center coordinates: (-79, 62), radius: 84. Perimeter = 527.787566; Color: CYAN
164: It is TRIANGLE. Coordinates of vertices: (16, 64), (90, 15), (-25, -32). Perimeter =  317.374812; Color: PURPLE
165: It is CIRCLE. Center coordinates: (-88, 86), radius: 99. Perimeter = 622.035345; Color: RED
166: It is TRIANGLE. Coordinates of vertices: (-54, -9), (-1, 9), (31, -89). Perimeter =  275.791575; Color: BLUE
167: It is RECTANGLE. Coordinates of angles: (-91, -44), (3, 43). Perimeter = 362.000000; Color: PURPLE
168: It is RECTANGLE. Coordinates of angles: (-64, 31), (21, 129). Perimeter = 366.000000; Color: PURPLE
169: It is TRIANGLE. Coordinates of vertices: (18, 76), (90, 34), (52, -60). Perimeter =  324.930590; Color: ORANGE
170: It is TRIANGLE. Coordinates of vertices: (-32, 82), (-29, -63), (8, 49). Perimeter =  314.839980; Color: RED
171: It is TRIANGLE. Coordinates of vertices: (14, 84), (-60, -25), (83, -27). Perimeter =  405.458078; Color: BLUE
172: It is RECTANGLE. Coordinates of angles: (-71, 6), (25, 100). Perimeter = 380.000000; Color: PURPLE
173: It is CIRCLE. Center coordinates: (-20, -40), radius: 76. Perimeter = 477.522083; Color: YELLOW
174: It is RECTANGLE. Coordinates of angles: (-72, -27), (19, 65). Perimeter = 366.000000; Color: ORANGE
175: It is TRIANGLE. Coordinates of vertices: (-33, -43), (49, 74), (41, 41). Perimeter =  288.776340; Color: GREEN
176: It is CIRCLE. Center coordinates: (11, 41), radius: 62. Perimeter = 389.557489; Color: GREEN
177: It is TRIANGLE. Coordinates of vertices: (39, -3), (-64, 99), (37, 83). Perimeter =  333.241341; Color: GREEN
178: It is CIRCLE. Center coordinates: (-94, -92), radius: 87. Perimeter = 546.637122; Color: YELLOW
179: It is CIRCLE. Center coordinates: (-67, 38), radius: 44. Perimeter = 276.460153; Color: ORANGE
180: It is TRIANGLE. Coordinates of vertices: (-4, -90), (49, -26), (-91, -6). Perimeter =  345.451552; Color: PURPLE
181: It is CIRCLE. Center coordinates: (23, -96), radius: 94. Perimeter = 590.619419; Color: ORANGE
182: It is TRIANGLE. Coordinates of vertices: (-83, 79), (-65, 93), (-49, -46). Perimeter =  292.262841; Color: CYAN
183: It is TRIANGLE. Coordinates of vertices: (5, 92), (92, -82), (-78, 76). Perimeter =  511.152207; Color: RED
184: It is CIRCLE. Center coordinates: (-18, 38), radius: 46. Perimeter = 289.026524; Color: ORANGE
185: It is CIRCLE. Center coordinates: (74, 4), radius: 72. Perimeter = 452.389342; Color: GREEN
186: It is RECTANGLE. Coordinates of angles: (-70, 67), (12, 134). Perimeter = 298.000000; Color: RED
187: It is TRIANGLE. Coordinates of vertices: (-56, -72), (3, 22), (48, -35). Perimeter =  293.989979; Color: GREEN
188: It is TRIANGLE. Coordinates of vertices: (-82, -2), (-39, -100), (89, 75). Perimeter =  511.370943; Color: PURPLE
189: It is TRIANGLE. Coordinates of vertices: (97, -28), (11, -29), (32, 57). Perimeter =  281.537319; Color: CYAN
190: It is TRIANGLE. Coordinates of vertices: (60, 60), (-35, -16), (-78, 19). Perimeter =  321.064826; Color: GREEN
191: It is CIRCLE. Center coordinates: (95, 55), radius: 62. Perimeter = 389.557489; Color: ORANGE
192: It is TRIANGLE. Coordinates of vertices: (43, -29), (-36, -96), (16, 20). Perimeter =  286.654105; Color: CYAN
193: It is TRIANGLE. Coordinates of vertices: (91, -28), (66, -28), (-38, -88). Perimeter =  287.337517; Color: BLUE
194: It is TRIANGLE. Coordinates of vertices: (-27, -51), (17, 69), (-61, -39). Perimeter =  297.089495; Color: BLUE
195: It is CIRCLE. Center coordinates: (0, 57), radius: 99. Perimeter = 622.035345; Color: RED
196: It is TRIANGLE. Coordinates of vertices: (81, -63), (-84, -81), (4, -58). Perimeter =  334.097115; Color: BLUE
197: It is TRIANGLE. Coordinates of vertices: (70, 73), (73, -39), (-4, -70). Perimeter =  356.058617; Color: RED
198: It is RECTANGLE. Coordinates of angles: (89, 63), (178, 133). Perimeter = 318.000000; Color: BLUE
199: It is RECTANGLE. Coordinates of angles: (50, -64), (143, -7). Perimeter = 300.000000; Color: GREEN
200: It is CIRCLE. Center coordinates: (64, 84), radius: 54. Perimeter = 339.292007; Color: YELLOW
201: It is TRIANGLE. Coordinates of vertices: (-86, -7), (39, 14), (11, -47). Perimeter =  298.794804; Color: BLUE
202: It is CIRCLE. Center coordinates: (-72, -43), radius: 48. Perimeter = 301.592895; Color: BLUE
203: It is TRIANGLE. Coordinates of vertices: (85, -43), (-27, 35), (52, 25). Perimeter =  291.699217; Color: CYAN
204: It is TRIANGLE. Coordinates of vertices: (62, -48), (-10, 68), (-12, -28). Perimeter =  309.204288; Color: PURPLE
205: It is CIRCLE. Center coordinates: (97, -47), radius: 97. Perimeter = 609.468975; Color: PURPLE
206: It is CIRCLE. Center coordinates: (6, -61), radius: 52. Perimeter = 326.725636; Color: YELLOW
207: It is RECTANGLE. Coordinates of angles: (-59, -66), (20, 28). Perimeter = 346.000000; Color: ORANGE
208: It is TRIANGLE. Coordinates of vertices: (-1, -55), (-97, -84), (21, 71). Perimeter =  422.995841; Color: ORANGE
209: It is RECTANGLE. Coordinates of angles: (-40, 29), (16, 125). Perimeter = 304.000000; Color: YELLOW
210: It is TRIANGLE. Coordinates of vertices: (-77, 36), (53, 73), (-99, 47). Perimeter =  313.967265; Color: BLUE
211: It is CIRCLE. Center coordinates: (59, -86), radius: 97. Perimeter = 609.468975; Color: GREEN
212: It is CIRCLE. Center coordinates: (-20, -1), radius: 73. Perimeter = 458.672527; Color: YELLOW
213: It is RECTANGLE. Coordinates of angles: (91, -55), (182, 1). Perimeter = 294.000000; Color: PURPLE
214: It is TRIANGLE. Coordinates of vertices: (-67, -31), (91, -53), (25, 94). Perimeter =  475.867195; Color: YELLOW
215: It is CIRCLE. Center coordinates: (28, -22), radius: 99. Perimeter = 622.035345; Color: PURPLE
216: It is TRIANGLE. Coordinates of vertices: (81, -16), (-38, -54), (13, 13). Perimeter =  283.047750; Color: ORANGE
217: It is TRIANGLE. Coordinates of vertices: (-100, -89), (75, 43), (65, 60). Perimeter =  461.243494; Color: RED
218: It is TRIANGLE. Coordinates of vertices: (-26, 49), (88, -15), (-2, 88). Perimeter =  313.310235; Color: PURPLE
219: It is TRIANGLE. Coordinates of vertices: (51, 21), (71, 78), (35, -60). Perimeter =  285.590451; Color: CYAN
220: It is CIRCLE. Center coordinates: (66, -89), radius: 54. Perimeter = 339.292007; Color: YELLOW
221: It is CIRCLE. Center coordinates: (-15, 25), radius: 80. Perimeter = 502.654824; Color: RED
222: It is TRIANGLE. Coordinates of vertices: (72, 58), (-22, -20), (13, -95). Perimeter =  368.893885; Color: PURPLE
223: It is TRIANGLE. Coordinates of vertices: (-87, -73), (-63, 61), (37, 23). Perimeter =  399.927288; Color: BLUE
224: It is CIRCLE. Center coordinates: (-57, 73), radius: 55. Perimeter = 345.575192; Color: PURPLE
225: It is CIRCLE. Center coordinates: (-77, -41), radius: 49. Perimeter = 307.876080; Color: BLUE
226: It is CIRCLE. Center coordinates: (28, -54), radius: 71. Perimeter = 446.106157; Color: CYAN
227: It is TRIANGLE. Coordinates of vertices: (-84, -54), (8, 43), (-35, -82). Perimeter =  322.315002; Color: GREEN
228: It is TRIANGLE. Coordinates of vertices: (28, 35), (39, 91), (98, -29). Perimeter =  285.637234; Color: CYAN
229: It is TRIANGLE. Coordinates of vertices: (-12, -49), (-100, 73), (74, -89). Perimeter =  483.012660; Color: CYAN
230: It is CIRCLE. Center coordinates: (72, -67), radius: 50. Perimeter = 314.159265; Color: RED
231: It is CIRCLE. Center coordinates: (88, 62), radius: 59. Perimeter = 370.707933; Color: PURPLE
232: It is CIRCLE. Center coordinates: (-23, 66), radius: 88. Perimeter = 552.920307; Color: RED
233: It is TRIANGLE. Coordinates of vertices: (-74, -15), (49, -42), (-18, -77). Perimeter =  285.065950; Color: PURPLE
234: It is CIRCLE. Center coordinates: (75, 17), radius: 91. Perimeter = 571.769863; Color: GREEN
235: It is CIRCLE. Center coordinates: (-100, 80), radius: 77. Perimeter = 483.805269; Color: ORANGE
236: It is TRIANGLE. Coordinates of vertices: (79, 9), (-75, 11), (43, -62). Perimeter =  372.373443; Color: CYAN
237: It is TRIANGLE. Coordinates of vertices: (-92, 23), (-93, -74), (-18, 61). Perimeter =  334.626144; Color: CYAN
238: It is TRIANGLE. Coordinates of vertices: (42, -97), (-32, -38), (74, 61). Perimeter =  400.890742; Color: RED
239: It is TRIANGLE. Coordinates of vertices: (-16, -15), (90, -62), (10, 29). Perimeter =  288.225482; Color: RED
240: It is TRIANGLE. Coordinates of vertices: (-53, 9), (-89, -100), (28, -47). Perimeter =  341.709002; Color: YELLOW
241: It is CIRCLE. Center coordinates: (-21, 22), radius: 85. Perimeter = 534.070751; Color: BLUE
242: It is CIRCLE. Center coordinates: (4, 45), radius: 91. Perimeter = 571.769863; Color: ORANGE
243: It is TRIANGLE. Coordinates of vertices: (-15, -78), (-90, -15), (54, 81). Perimeter =  444.341709; Color: RED
244: It is CIRCLE. Center coordinates: (58, 33), radius: 64. Perimeter = 402.123860; Color: RED
245: It is TRIANGLE. Coordinates of vertices: (51, 43), (-96, 57), (-100, 16). Perimeter =  342.254737; Color: BLUE
246: It is TRIANGLE. Coordinates of vertices: (46, -16), (-84, -10), (87, -84). Perimeter =  395.867403; Color: RED
